"","date","ns","ns_d","shadow_mps"
"1",1999-03-31,0.025873681041767,-0.00431386777542153,NA
"2",1999-06-30,0.0226050965986546,-0.0032685844431124,-0.050684140052445
"3",1999-09-30,0.026256882161241,0.00365178556258638,-0.565294420511662
"4",1999-12-31,0.0322637139018838,0.00600683174064276,0.330641743183673
"5",2000-03-31,0.0364210371187326,0.00415732321684881,-0.479728181073844
"6",2000-06-30,0.0437544750498795,0.00733343793114694,0.714635283569475
"7",2000-09-30,0.0487268979484421,0.00497242289856259,0.0610967634253043
"8",2000-12-31,0.0475808473803814,-0.00114605056806072,-0.269217419356
"9",2001-03-31,0.0429282166438321,-0.00465263073654931,-3.41837575550301
"10",2001-06-30,0.0420437131768578,-0.000884503466974218,1.03403641707983
"11",2001-09-30,0.0369351853792546,-0.00510852779760329,-0.120008329285486
"12",2001-12-31,0.0304277595047744,-0.00650742587448017,-0.092604249741826
"13",2002-03-31,0.0338615584305377,0.00343379892576334,0.716261148430053
"14",2002-06-30,0.0346905305426544,0.000828972112116633,0.187839054633912
"15",2002-09-30,0.0307238377906429,-0.00396669275201145,-0.598207286630044
"16",2002-12-31,0.0263571875849875,-0.00436665020565541,-0.235847204574423
"17",2003-03-31,0.0212858033877197,-0.00507138419726783,0.176628272062602
"18",2003-06-30,0.0183585611745425,-0.00292724221317719,0.642373935941601
"19",2003-09-30,0.0181278450989215,-0.000230716075620974,-0.420569486103531
"20",2003-12-31,0.0195492722293027,0.00142142713038118,0.129170096781837
"21",2004-03-31,0.0168962547979803,-0.0026530174313224,-0.42696851718393
"22",2004-06-30,0.0187766687978626,0.00188041399988226,0.208254166375583
"23",2004-09-30,0.0191518926955818,0.000375223897719268,0.476281343364201
"24",2004-12-31,0.0189615851442466,-0.0001903075513352,-0.225137654088066
"25",2005-03-31,0.0197969593973404,0.000835374253093768,0.475502750660999
"26",2005-06-30,0.0181223709961056,-0.0016745884012348,-0.366071554361419
"27",2005-09-30,0.0191234958249462,0.00100112482884063,-0.272687702585538
"28",2005-12-31,0.0234618852846162,0.00433838945967002,0.636049070962901
"29",2006-03-31,0.0268926652846611,0.00343078000004482,0.0947775360505409
"30",2006-06-30,0.0294816250942358,0.00258895980957474,-0.670356677781212
"31",2006-09-30,0.0323897096661083,0.00290808457187253,0.697386124617394
"32",2006-12-31,0.0359218235630223,0.00353211389691399,-0.378889857483675
"33",2007-03-31,0.0384042854855295,0.00248246192250723,-0.166221129409018
"34",2007-06-30,0.0411621150356289,0.0027578295500994,0.114940072655039
"35",2007-09-30,0.0400069519871045,-0.00115516304852448,-0.118897521306636
"36",2007-12-31,0.0384151558355394,-0.00159179615156502,-0.737808454173037
"37",2008-03-31,0.0349873798668445,-0.00342777596869492,-0.669458863439232
"38",2008-06-30,0.0406512478248608,0.00566386795801632,2.25607310430671
"39",2008-09-30,0.0402957317624562,-0.000355516062404693,1.17718789715091
"40",2008-12-31,0.0195745604596376,-0.0207211713028186,-0.0194149383836091
"41",2009-03-31,0.0078006562300077,-0.0117739042296299,1.95649028449652
"42",2009-06-30,0.00566988923038281,-0.00213076699962489,-0.564809767658366
"43",2009-09-30,0.00353978680751932,-0.00213010242286349,0.080584653075048
"44",2009-12-31,0.004005935080307,0.000466148272787681,-0.229811839880049
"45",2010-03-31,0.00247911749727159,-0.00152681758303541,-0.228538064930816
"46",2010-06-30,0.00216994836354623,-0.000309169133725362,-0.260696426669037
"47",2010-09-30,0.00371759891147549,0.00154765054792927,0.394771804517812
"48",2010-12-31,0.00593678224398908,0.00221918333251359,-0.404826913534685
"49",2011-03-31,0.00942517438443757,0.00348839214044849,-0.216040383641294
"50",2011-06-30,0.0117908488265408,0.00236567444210323,1.37971125521154
"51",2011-09-30,0.0067336046211679,-0.0050572442053729,-0.476371144021051
"52",2011-12-31,0.00269408160197493,-0.00403952301919297,0.120400544965373
"53",2012-03-31,-0.00178924707169859,-0.00448332867367351,0.127965977897905
"54",2012-06-30,-0.00454412506768009,-0.00275487799598151,1.16035962484247
"55",2012-09-30,-0.0128425494025927,-0.00829842433491257,-0.916709571621198
"56",2012-12-31,-0.0162778552863859,-0.00343530588379326,0.734917895526773
"57",2013-03-31,-0.0129151779213326,0.00336267736505336,1.45443730101886
"58",2013-06-30,-0.0155967999343809,-0.00268162201304833,-0.481412747296136
"59",2013-09-30,-0.00907548454671081,0.00652131538767009,1.13058045835112
"60",2013-12-31,-0.012781176257373,-0.00370569171066215,-0.734816247444963
"61",2014-03-31,-0.0158950630745957,-0.00311388681722269,-0.191730619473175
"62",2014-06-30,-0.0204362819276125,-0.00454121885301684,0.0345805501317419
"63",2014-09-30,-0.029350986400542,-0.00891470447292952,-1.27000237629447
"64",2014-12-31,-0.0393085255829944,-0.00995753918245235,-0.724305122164136
"65",2015-03-31,-0.0450143428117346,-0.0057058172287402,-1.13109675972764
"66",2015-06-30,-0.0350117862477368,0.0100025565639977,1.60105444636861
"67",2015-09-30,-0.0282084484995198,0.00680333774821706,0.975030527183998
"68",2015-12-31,-0.0366996521339731,-0.00849120363445333,-1.41521898875573
"69",2016-03-31,-0.0469161749835274,-0.0102165228495543,-1.02498955346798
"70",2016-06-30,-0.0591576187838503,-0.0122414438003229,-1.44551953629421
"71",2016-09-30,-0.0720578324155003,-0.0129002136316501,-1.30639541096594
"72",2016-12-31,-0.0720830148382361,-2.51824227357478e-05,0.319268650353317
"73",2017-03-31,-0.058999983023825,0.0130830318144111,1.7376136986473
"74",2017-06-30,-0.0524001329062398,0.00659985011758524,0.13814389304669
"75",2017-09-30,-0.0465944469880164,0.00580568591822339,0.218254075906793
"76",2017-12-31,-0.0460860006797714,0.000508446308244981,-0.330499836988017
"77",2018-03-31,-0.0283333421920403,0.0177526584877311,3.09719624081201
"78",2018-06-30,-0.02657002944167,0.00176331275037034,-1.07310676038664
"79",2018-09-30,-0.0306932707435695,-0.00412324130189956,-0.202446037860528
"80",2018-12-31,-0.0278783008446989,0.00281496989887065,1.02387526543159
"81",2019-03-31,-0.0373322215510037,-0.0094539207063048,-1.74819964626084
"82",2019-06-30,-0.0511544277624175,-0.0138222062114138,-1.76471572058026
"83",2019-09-30,-0.064218498348905,-0.0130640705864875,-0.598326461433067
